Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,NEW_Country,NEW_City
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,-5.29,-44.49,Brazil,Presidente Dutra
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,-11.2958,-41.9869,Brazil,Presidente Dutra
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,16.1005,-88.8074,Belize,Punta Gorda Town
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,26.8941,-82.0513,United States,Charlotte Park
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,42.6493,-83.2878,United States,Pontiac
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,40.8894,-88.6409,United States,Livingston County
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,39.7805,-84.2003,United States,Dayton
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,39.2592,-119.5653,United States,Dayton
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,30.0315,-94.9158,United States,Dayton
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,33.2175,-97.1418,United States,Denton
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,53.4554,-2.1122,United Kingdom,Tameside
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,31.8393,-111.0009,United States,Green Valley
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,39.3414,-77.24,United States,Sugarloaf Overlook
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.7431,-74.1531,United States,Harrison
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,41.0236,-73.7193,United States,Town/Village of Harrison
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,36.2438,-93.1198,United States,Harrison
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,39.2584,-84.7868,United States,Harrison
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,44.1935,-88.2941,United States,Village of Harrison
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.6374,-79.7173,United States,Harrison Township
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,51.019,-3.1,United Kingdom,Taunton
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,41.9036,-71.0943,United States,Taunton
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,40.2237,-74.7641,United States,Trenton
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,42.1394,-83.1929,United States,Trenton
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,39.4792,-84.462,United States,Trenton
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,33.9209,-118.2356,United States,Los Angeles County
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,41.7641,-87.9454,United States,Willowbrook
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,27.9814,116.3577,China,Qingyun Subdistrict
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,26.0769,119.2917,China,Gulou District
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,41.15,-8.5333,Portugal,Gondomar
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,42.1111,-8.7611,Spain,Gondomar
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,35.6526,-78.8399,United States,Holly Springs
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,34.1681,-84.4847,United States,Holly Springs
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,22.5333,113.35,China,Zhongshan
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,34.943,105.8771,China,Zhongshan
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,48.55,-71.65,Canada,Alma
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,43.3799,-84.6556,United States,Alma
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate,37.9787,-121.796,United States,Antioch
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate,42.4742,-88.0721,United States,Antioch
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good,55.458,-4.629,United Kingdom,Ayr
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good,-19.5744,147.4066,Australia,Ayr
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,52.135,-0.47,United Kingdom,Bedford
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,32.8464,-97.135,United States,Bedford
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,42.9406,-71.5302,United States,Bedford
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,41.225,-73.6673,United States,Town of Bedford
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,42.4969,-71.2783,United States,Bedford
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,38.8602,-86.4895,United States,Bedford
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,41.3919,-81.536,United States,Bedford
Philippines,Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate,14.5167,121.2667,Philippines,Baras
Philippines,Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate,13.6667,124.3667,Philippines,Nagbarorong
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good,52.6286,1.2928,United Kingdom,Norwich
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good,41.5495,-72.0882,United States,Norwich
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good,42.9833,-80.6,Canada,Norwich
United States of America,Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate,44.9876,-92.9641,United States,Oakdale
United States of America,Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate,37.7618,-120.8468,United States,Oakdale
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate,29.6575,-95.1498,United States,Pasadena
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate,34.1597,-118.139,United States,Pasadena
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate,39.1552,-76.5537,United States,Pasadena
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good,40.9,-73.8063,United States,Village of Pelham Manor
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good,33.3114,-86.7573,United States,Pelham
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good,43.0333,-79.3333,Canada,Pelham
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good,42.7335,-71.324,United States,Pelham
Russian Federation,Rostov,32,Good,1,Good,32,Good,0,Good,26,Good,47.2333,39.7,Russia,Rostov-on-Don
Russian Federation,Rostov,32,Good,1,Good,32,Good,0,Good,26,Good,57.1833,39.4167,Russia,Rostov
Brazil,Salvador,30,Good,0,Good,16,Good,1,Good,30,Good,-12.9747,-38.4767,Brazil,Salvador
Brazil,Salvador,30,Good,0,Good,16,Good,1,Good,30,Good,20.2094,-75.2231,Cuba,El Salvador
India,Phulpur,226,Very Unhealthy,1,Good,48,Good,1,Good,226,Very Unhealthy,24.955,90.3573,Bangladesh,Phulpur
India,Phulpur,226,Very Unhealthy,1,Good,48,Good,1,Good,226,Very Unhealthy,25.55,82.1,India,Phoolpur
Brazil,Picos,16,Good,0,Good,12,Good,0,Good,16,Good,15.083,-23.632,Cape Verde,Picos
Brazil,Picos,16,Good,0,Good,12,Good,0,Good,16,Good,-7.0769,-41.4669,Brazil,Picos
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,37.5295,-77.4756,United States,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,49.1667,-123.1333,Canada,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,37.9477,-122.3389,United States,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,-41.3333,173.1833,New Zealand,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,39.8318,-84.8905,United States,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,37.7307,-84.2925,United States,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,51.456,-0.301,United Kingdom,London
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,29.5824,-95.7563,United States,Richmond
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,-33.5983,150.7511,Australia,Sydney
United States of America,Richmond,76,Moderate,2,Good,15,Good,17,Good,76,Moderate,-20.7305,143.1425,Australia,Richmond
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,6.8058,-58.1508,Guyana,City of Georgetown
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,-7.9286,-14.4119,"Saint Helena, Ascension and Tristan da Cunha",Georgetown
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,30.666,-97.6966,United States,Georgetown
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,38.2247,-84.5487,United States,Georgetown
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,31.9849,-81.226,United States,Georgetown
Guyana,Georgetown,27,Good,0,Good,19,Good,0,Good,27,Good,-18.3,143.55,Australia,Georgetown
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate,30.1356,-81.7674,United States,Lakeside
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate,32.856,-116.904,United States,Lakeside
United States of America,Lakeside,57,Moderate,2,Good,22,Good,14,Good,57,Moderate,37.6132,-77.4768,United States,Henrico County
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,13.9333,121.6167,Philippines,Lucena
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,37.4,-4.4833,Spain,Lucena
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,10.8833,122.6,Philippines,Dawis
Philippines,Lucena,32,Good,1,Good,29,Good,0,Good,32,Good,-6.9,-34.8689,Brazil,Lucena
United States of America,Maitland,53,Moderate,1,Good,18,Good,14,Good,53,Moderate,28.6295,-81.3718,United States,Maitland
United States of America,Maitland,53,Moderate,1,Good,18,Good,14,Good,53,Moderate,-32.7167,151.55,Australia,Newcastle-Maitland
Germany,Hamburg,34,Good,0,Good,28,Good,2,Good,34,Good,53.55,10.0,Germany,Hamburg
Germany,Hamburg,34,Good,0,Good,28,Good,2,Good,34,Good,42.7394,-78.8581,United States,Town of Hamburg
United States of America,Hoboken,61,Moderate,1,Good,27,Good,11,Good,61,Moderate,40.7452,-74.0281,United States,Hoboken
United States of America,Hoboken,61,Moderate,1,Good,27,Good,11,Good,61,Moderate,51.1667,4.3667,Belgium,Antwerp
Russian Federation,Kola,30,Good,1,Good,30,Good,0,Good,10,Good,22.43,87.87,India,Kolaghat
Russian Federation,Kola,30,Good,1,Good,30,Good,0,Good,10,Good,68.8833,33.0833,Russia,Murmansk
Russian Federation,Krasnyy Yar,34,Good,1,Good,34,Good,1,Good,24,Good,46.5331,48.3456,Russia,Krasniy Yar
Russian Federation,Krasnyy Yar,34,Good,1,Good,34,Good,1,Good,24,Good,53.3239,69.2525,Kazakhstan,Kokshetau
Japan,Kushiro,33,Good,1,Good,33,Good,0,Good,9,Good,42.9833,144.3833,Japan,Kushiro
Japan,Kushiro,33,Good,1,Good,33,Good,0,Good,9,Good,42.9961,144.4661,Japan,Kushiro
Mexico,Jilotepec,95,Moderate,2,Good,9,Good,9,Good,95,Moderate,19.9519,-99.5328,Mexico,Jilotepec de Molina Enriquez
Mexico,Jilotepec,95,Moderate,2,Good,9,Good,9,Good,95,Moderate,19.6113,-96.9224,Mexico,Vista Hermosa Primera Manzana
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate,52.3931,-0.7229,United Kingdom,Kettering
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate,39.6956,-84.1494,United States,Kettering
United States of America,Kettering,53,Moderate,1,Good,31,Good,6,Good,53,Moderate,38.8888,-76.7889,United States,Prince George's County
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,-33.25,-58.0333,Uruguay,Mercedes
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,-34.65,-59.4333,Argentina,Mercedes
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,14.1093,123.0109,Philippines,Mercedes
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,-29.2,-58.0833,Argentina,Municipio de Mercedes
Argentina,Mercedes,14,Good,1,Good,14,Good,0,Good,3,Good,26.1533,-97.9128,United States,Mercedes
Uruguay,Minas,22,Good,0,Good,19,Good,0,Good,22,Good,-34.3667,-55.2333,Uruguay,Minas
Uruguay,Minas,22,Good,0,Good,19,Good,0,Good,22,Good,21.4894,-77.605,Cuba,Minas
United States of America,Moscow,30,Good,1,Good,19,Good,4,Good,30,Good,55.7558,37.6178,Russia,Moscow
United States of America,Moscow,30,Good,1,Good,19,Good,4,Good,30,Good,46.7308,-116.9986,United States,Moscow
India,Mudhol,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,18.9667,77.9167,India,Taroda
India,Mudhol,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,15.6406,75.9531,India,Mudhola
India,Mudhol,73,Moderate,0,Good,24,Good,0,Good,73,Moderate,16.35,75.2833,India,Mudhol
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,49.35,8.15,Germany,Neustadt an der Weinstraße
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,49.5967,10.6089,Germany,Ehe
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,51.0239,14.2167,Germany,Neustadt in Sachsen
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,50.85,9.1167,Germany,Neustadt
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good,50.7333,11.75,Germany,Neustadt an der Orla
United States of America,Littleton,74,Moderate,1,Good,8,Good,13,Good,74,Moderate,39.5915,-105.0188,United States,Littleton
United States of America,Littleton,74,Moderate,1,Good,8,Good,13,Good,74,Moderate,42.535,-71.4891,United States,Littleton
United States of America,Leominster,30,Good,1,Good,30,Good,3,Good,22,Good,42.5209,-71.7717,United States,Leominster
United States of America,Leominster,30,Good,1,Good,30,Good,3,Good,22,Good,52.2282,-2.7385,United Kingdom,Leominster
Spain,Murcia,29,Good,1,Good,29,Good,2,Good,20,Good,37.9861,-1.1303,Spain,Murcia
Spain,Murcia,29,Good,1,Good,29,Good,2,Good,20,Good,10.6,123.0333,Philippines,Abo-abo
United States of America,Lockhart,47,Good,1,Good,21,Good,2,Good,47,Good,29.8785,-97.6831,United States,Lockhart
United States of America,Lockhart,47,Good,1,Good,21,Good,2,Good,47,Good,28.627,-81.4354,United States,Lockhart
Russian Federation,Krasnogorsk,61,Moderate,1,Good,24,Good,10,Good,61,Moderate,55.8217,37.3386,Russia,Krasnogorsk
Russian Federation,Krasnogorsk,61,Moderate,1,Good,24,Good,10,Good,61,Moderate,48.4172,142.0869,Russia,Красногорск
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate,13.7167,-88.9,El Salvador,El Carmen
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate,13.35,-88.0,El Salvador,El Carmen
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate,8.5128,-73.4508,Colombia,El Carmen
Brazil,Esperantina,55,Moderate,2,Good,1,Good,3,Good,55,Moderate,-3.9019,-42.2339,Brazil,Esperantina
Brazil,Esperantina,55,Moderate,2,Good,1,Good,3,Good,55,Moderate,-5.3428,-48.5108,Brazil,Esperantina
Belgium,Essen,38,Good,1,Good,28,Good,4,Good,38,Good,51.4508,7.0131,Germany,Essen
Belgium,Essen,38,Good,1,Good,28,Good,4,Good,38,Good,51.4667,4.4667,Belgium,Essen
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,50.15,-5.07,United Kingdom,Falmouth
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,18.49,-77.661,Jamaica,Falmouth
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,41.5913,-70.5912,United States,Falmouth
United Kingdom of Great Britain and Northern Ireland,Falmouth,78,Moderate,0,Good,37,Good,0,Good,78,Moderate,43.7476,-70.2827,United States,Falmouth
Argentina,Formosa,32,Good,0,Good,13,Good,0,Good,32,Good,-26.1833,-58.1833,Argentina,Formosa
Argentina,Formosa,32,Good,0,Good,13,Good,0,Good,32,Good,-15.5369,-47.3339,Brazil,Formosa
Ecuador,Guaranda,59,Moderate,2,Good,1,Good,6,Good,59,Moderate,-1.6,-79.0,Ecuador,Guaranda
Ecuador,Guaranda,59,Moderate,2,Good,1,Good,6,Good,59,Moderate,8.4672,-74.5367,Colombia,Guaranda
United States of America,Gardner,45,Good,1,Good,45,Good,1,Good,25,Good,38.8122,-94.9275,United States,Gardner
United States of America,Gardner,45,Good,1,Good,45,Good,1,Good,25,Good,42.5845,-71.9868,United States,Gardner
Russian Federation,Mikhaylovka,43,Good,1,Good,31,Good,0,Good,43,Good,50.0667,43.25,Russia,Mikhaylovka
Russian Federation,Mikhaylovka,43,Good,1,Good,31,Good,0,Good,43,Good,43.9283,132.0061,Russia,Mihaylovka
United States of America,Millcreek,44,Good,1,Good,21,Good,8,Good,44,Good,40.6892,-111.8292,United States,Millcreek
United States of America,Millcreek,44,Good,1,Good,21,Good,8,Good,44,Good,42.0859,-80.1194,United States,Millcreek Township
United States of America,New Haven,57,Moderate,1,Good,45,Good,4,Good,57,Moderate,41.3113,-72.9246,United States,New Haven
United States of America,New Haven,57,Moderate,1,Good,45,Good,4,Good,57,Moderate,41.0676,-85.0174,United States,New Haven
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,51.5886,-2.9978,United Kingdom,Newport
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,39.0856,-84.4868,United States,Newport
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,52.7691,-2.3787,United Kingdom,Newport
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,41.4801,-71.3203,United States,Newport
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,50.701,-1.2883,United Kingdom,Newport
United Kingdom of Great Britain and Northern Ireland,Newport,47,Good,0,Good,27,Good,3,Good,47,Good,44.6242,-124.0513,United States,Newport
Germany,Erbach,57,Moderate,1,Good,43,Good,2,Good,57,Moderate,49.6569,8.9931,Germany,Erbach (Odenwald)
Germany,Erbach,57,Moderate,1,Good,43,Good,2,Good,57,Moderate,48.3281,9.8878,Germany,Erbach
United Kingdom of Great Britain and Northern Ireland,Gillingham,32,Good,0,Good,32,Good,2,Good,16,Good,51.385,0.55,United Kingdom,Gillingham
United Kingdom of Great Britain and Northern Ireland,Gillingham,32,Good,0,Good,32,Good,2,Good,16,Good,51.0375,-2.2748,United Kingdom,Gillingham
Russian Federation,Krasnogvardeyskoye,48,Good,1,Good,48,Good,0,Good,19,Good,45.85,41.5167,Russia,Krasnogvardeyskoye
Russian Federation,Krasnogvardeyskoye,48,Good,1,Good,48,Good,0,Good,19,Good,45.1278,39.5725,Russia,Krasnogvardeyskoye
United States of America,Sacramento,36,Good,1,Good,26,Good,9,Good,36,Good,38.5677,-121.4685,United States,Sacramento
United States of America,Sacramento,36,Good,1,Good,26,Good,9,Good,36,Good,-19.865,-47.44,Brazil,Sacramento
United States of America,Richland,33,Good,1,Good,33,Good,2,Good,15,Good,46.2824,-119.2939,United States,Richland
United States of America,Richland,33,Good,1,Good,33,Good,2,Good,15,Good,40.449,-75.3362,United States,Richland Township
United States of America,Richland,33,Good,1,Good,33,Good,2,Good,15,Good,40.2842,-78.8449,United States,Richland Township
United States of America,Richland,33,Good,1,Good,33,Good,2,Good,15,Good,40.644,-79.9579,United States,Richland Township
Mexico,Salamanca,137,Unhealthy for Sensitive Groups,3,Good,9,Good,10,Good,137,Unhealthy for Sensitive Groups,20.5703,-101.1972,Mexico,Salamanca
Mexico,Salamanca,137,Unhealthy for Sensitive Groups,3,Good,9,Good,10,Good,137,Unhealthy for Sensitive Groups,40.965,-5.6642,Spain,Salamanca
Mexico,Salamanca,137,Unhealthy for Sensitive Groups,3,Good,9,Good,10,Good,137,Unhealthy for Sensitive Groups,-31.7667,-70.9667,Chile,Salamanca
United States of America,West Point,60,Moderate,1,Good,49,Good,1,Good,60,Moderate,41.122,-112.0995,United States,West Point
United States of America,West Point,60,Moderate,1,Good,49,Good,1,Good,60,Moderate,33.6064,-88.6572,United States,West Point
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,41.4459,-74.4236,United States,City of Middletown
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,39.5033,-84.3659,United States,Middletown
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,40.3892,-74.082,United States,Middletown Township
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,41.5476,-72.6549,United States,Middletown
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,40.179,-74.9059,United States,Middletown Township
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,39.445,-75.7183,United States,Middletown
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,41.5175,-71.2769,United States,Middletown
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,39.9094,-75.4311,United States,Middletown Township
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,38.241,-85.5214,United States,Middletown
United States of America,Middletown,48,Good,1,Good,29,Good,8,Good,48,Good,40.201,-76.7289,United States,Middletown
Spain,Moncada,28,Good,1,Good,28,Good,1,Good,27,Good,15.7331,120.5725,Philippines,Moncada
Spain,Moncada,28,Good,1,Good,28,Good,1,Good,27,Good,41.4867,2.1879,Spain,Montcada i Reixac
Spain,Moncada,28,Good,1,Good,28,Good,1,Good,27,Good,39.5456,-0.3956,Spain,Montcada / Moncada
Germany,Neuenkirchen,32,Good,0,Good,32,Good,1,Good,20,Good,52.2411,7.3689,Germany,Neuenkirchen
Germany,Neuenkirchen,32,Good,0,Good,32,Good,1,Good,20,Good,52.5167,8.0667,Germany,Neuenkirchen-Vörden
Peru,Concepcion,24,Good,0,Good,5,Good,1,Good,24,Good,15.3249,120.6554,Philippines,Concepcion
Peru,Concepcion,24,Good,0,Good,5,Good,1,Good,24,Good,11.2,123.1,Philippines,Concepcion
Peru,Concepcion,24,Good,0,Good,5,Good,1,Good,24,Good,8.4167,123.6,Philippines,Maligubaan
United States of America,Crestwood,73,Moderate,2,Good,15,Good,18,Good,73,Moderate,38.5569,-90.3783,United States,Crestwood
United States of America,Crestwood,73,Moderate,2,Good,15,Good,18,Good,73,Moderate,41.6454,-87.7397,United States,Crestwood
United States of America,Brockton,43,Good,1,Good,36,Good,4,Good,43,Good,42.0821,-71.0242,United States,Brockton
United States of America,Brockton,43,Good,1,Good,36,Good,4,Good,43,Good,44.1667,-81.2167,Canada,Brockton
United States of America,Brooklyn Park,53,Moderate,1,Good,40,Good,4,Good,53,Moderate,45.1112,-93.3505,United States,Brooklyn Park
United States of America,Brooklyn Park,53,Moderate,1,Good,40,Good,4,Good,53,Moderate,39.217,-76.6174,United States,Brooklyn Park
Brazil,Cantagalo,59,Moderate,1,Good,13,Good,3,Good,59,Moderate,-21.9808,-42.3678,Brazil,Cantagalo
Brazil,Cantagalo,59,Moderate,1,Good,13,Good,3,Good,59,Moderate,-25.3739,-52.1258,Brazil,Cantagalo
Spain,Carmona,23,Good,1,Good,19,Good,4,Good,23,Good,14.3167,121.05,Philippines,Carmona
Spain,Carmona,23,Good,1,Good,19,Good,4,Good,23,Good,37.4667,-5.6333,Spain,Carmona
United States of America,Carrollton,60,Moderate,2,Good,39,Good,8,Good,60,Moderate,32.989,-96.8999,United States,Carrollton
United States of America,Carrollton,60,Moderate,2,Good,39,Good,8,Good,60,Moderate,33.5818,-85.0838,United States,Carrollton
United Kingdom of Great Britain and Northern Ireland,Chatham,26,Good,1,Good,23,Good,6,Good,26,Good,42.4229,-82.1324,Canada,Chatham
United Kingdom of Great Britain and Northern Ireland,Chatham,26,Good,1,Good,23,Good,6,Good,26,Good,51.37,0.52,United Kingdom,Chatham
United Kingdom of Great Britain and Northern Ireland,Chatham,26,Good,1,Good,23,Good,6,Good,26,Good,39.6733,-89.6934,United States,Chatham
United Kingdom of Great Britain and Northern Ireland,Chatham,26,Good,1,Good,23,Good,6,Good,26,Good,40.7274,-74.4289,United States,Chatham Township
United States of America,Clarksburg,42,Good,1,Good,40,Good,2,Good,42,Good,39.2246,-77.2659,United States,Montgomery County
United States of America,Clarksburg,42,Good,1,Good,40,Good,2,Good,42,Good,39.2862,-80.3232,United States,Clarksburg
Philippines,Claveria,95,Moderate,1,Good,23,Good,0,Good,95,Moderate,8.61,124.8947,Philippines,Claveria
Philippines,Claveria,95,Moderate,1,Good,23,Good,0,Good,95,Moderate,12.9035,123.2457,Philippines,Claveria
Philippines,Claveria,95,Moderate,1,Good,23,Good,0,Good,95,Moderate,9.5742,125.7328,Philippines,Tayaga
Philippines,Claveria,95,Moderate,1,Good,23,Good,0,Good,95,Moderate,18.6061,121.0822,Philippines,Claveria
United States of America,Fairmount,49,Good,1,Good,49,Good,2,Good,32,Good,43.0414,-76.2485,United States,City of Syracuse
United States of America,Fairmount,49,Good,1,Good,49,Good,2,Good,32,Good,39.7931,-105.1711,United States,Jefferson County
Canada,Beloeil,39,Good,1,Good,26,Good,1,Good,39,Good,45.5667,-73.2,Canada,Beloeil
Canada,Beloeil,39,Good,1,Good,26,Good,1,Good,39,Good,50.5333,3.7167,Belgium,Quevaucamps
United States of America,Bloomfield,52,Moderate,1,Good,40,Good,3,Good,52,Moderate,40.8098,-74.1869,United States,Bloomfield
United States of America,Bloomfield,52,Moderate,1,Good,40,Good,3,Good,52,Moderate,41.8426,-72.7406,United States,Bloomfield
Brazil,Bonito,35,Good,1,Good,9,Good,0,Good,35,Good,-8.47,-35.7289,Brazil,Bonito
Brazil,Bonito,35,Good,1,Good,9,Good,0,Good,35,Good,-21.1333,-56.4833,Brazil,Bonito
